	timestamp,accX,accY,accZ,gyrX,gyrY,gyrZ
1285,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1295,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1305,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1315,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1325,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1335,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1345,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1355,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1365,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1375,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1385,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1395,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1405,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1415,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1425,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1435,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1445,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1455,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1465,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1475,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1485,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1495,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1505,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1515,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1525,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1535,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1545,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1555,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1565,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1575,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1586,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1596,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1606,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1616,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1626,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1636,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1646,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1656,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1666,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1676,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1686,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1696,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1706,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1716,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1726,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1736,-17.40,-0.57,1.73,-1.04,15.93,-12.27
1746,-17.40,-0.57,1.73,-1.04,15.93,-12.27
