Timestamp (Unix),ax,ay,az,gx,gy,gz
2023-12-24 18:43:43.964,0.88, 0.21, 0.42, 0.00, 1.65, 3.60
2023-12-24 18:43:43.966,0.88, 0.20, 0.42, -0.31, 1.77, 3.60
2023-12-24 18:43:43.967,0.88, 0.21, 0.43, -0.73, 1.59, 3.36
2023-12-24 18:43:43.969,0.89, 0.20, 0.43, -0.98, 1.22, 3.60
2023-12-24 18:43:43.970,0.88, 0.21, 0.43, -1.22, 0.92, 3.42
2023-12-24 18:43:43.973,0.88, 0.20, 0.43, -1.46, 0.98, 1.89
2023-12-24 18:43:43.974,0.88, 0.21, 0.43, -1.22, 1.28, 2.99
2023-12-24 18:43:43.975,0.88, 0.21, 0.44, -1.40, 1.65, 2.14
2023-12-24 18:43:43.977,0.88, 0.21, 0.43, -1.28, 1.95, 2.32
2023-12-24 18:43:43.978,0.86, 0.21, 0.43, -1.59, 2.14, 2.56
2023-12-24 18:43:43.979,0.88, 0.21, 0.44, -1.89, 2.08, 2.75
2023-12-24 18:43:43.980,0.88, 0.21, 0.44, -1.89, 1.59, 2.99
2023-12-24 18:43:43.981,0.87, 0.21, 0.44, -2.01, 1.10, 2.99
2023-12-24 18:43:43.983,0.87, 0.21, 0.44, -1.53, 1.83, 3.30
2023-12-24 18:43:43.984,0.88, 0.20, 0.43, -1.59, 2.62, 2.56
2023-12-24 18:43:43.985,0.89, 0.20, 0.43, -2.08, 2.62, 2.75
2023-12-24 18:43:43.986,0.88, 0.20, 0.43, -2.62, 1.53, 0.92
2023-12-24 18:43:43.989,0.87, 0.20, 0.44, -2.20, 1.71, 1.40
2023-12-24 18:43:43.991,0.86, 0.19, 0.45, -1.46, 2.01, 1.65
2023-12-24 18:43:43.992,0.86, 0.18, 0.45, -0.73, 2.62, 2.26
2023-12-24 18:43:43.993,0.86, 0.19, 0.45, 0.00, 2.87, 2.44
2023-12-24 18:43:43.994,0.86, 0.18, 0.45, 0.55, 3.11, 2.69
2023-12-24 18:43:43.996,0.87, 0.18, 0.45, 1.10, 3.17, 3.72
2023-12-24 18:43:43.997,0.88, 0.18, 0.45, 1.77, 2.87, 3.11
2023-12-24 18:43:43.998,0.89, 0.18, 0.46, 2.38, 2.75, 2.75
2023-12-24 18:43:44.005,0.89, 0.18, 0.46, 2.50, 2.44, 0.98
2023-12-24 18:43:44.008,0.88, 0.19, 0.46, 2.93, 2.32, -0.06
2023-12-24 18:43:44.009,0.88, 0.20, 0.46, 3.05, 2.32, -0.18
2023-12-24 18:43:44.011,0.87, 0.21, 0.45, 3.17, 2.26, -0.55
2023-12-24 18:43:44.012,0.86, 0.22, 0.45, 3.60, 2.32, -0.43
2023-12-24 18:43:44.013,0.87, 0.22, 0.44, 3.23, 3.42, -0.61
2023-12-24 18:43:44.014,0.86, 0.23, 0.42, 2.44, 2.69, -0.73
2023-12-24 18:43:44.016,0.85, 0.23, 0.43, 1.34, 1.89, -1.22
2023-12-24 18:43:44.017,0.84, 0.24, 0.43, 0.98, 1.71, -0.37
2023-12-24 18:43:44.019,0.84, 0.24, 0.44, 0.43, 1.40, 0.24
2023-12-24 18:43:44.020,0.85, 0.24, 0.43, 0.12, 1.53, 1.16
2023-12-24 18:43:44.025,0.85, 0.24, 0.43, -0.12, 1.77, 0.49
2023-12-24 18:43:44.027,0.86, 0.23, 0.43, -0.12, 1.65, 2.14
2023-12-24 18:43:44.029,0.86, 0.22, 0.43, -0.49, 1.46, 1.16
2023-12-24 18:43:44.030,0.86, 0.23, 0.43, -0.24, 1.53, 2.50
2023-12-24 18:43:44.032,0.87, 0.22, 0.43, -0.61, 1.46, 2.81
2023-12-24 18:43:44.033,0.87, 0.22, 0.44, -0.73, 1.34, 2.50
2023-12-24 18:43:44.035,0.88, 0.21, 0.43, -0.55, 1.77, 3.17
2023-12-24 18:43:44.036,0.88, 0.21, 0.43, -0.49, 2.08, 2.93
2023-12-24 18:43:44.040,0.89, 0.21, 0.43, -0.61, 1.89, 2.69
2023-12-24 18:43:44.041,0.89, 0.20, 0.44, -0.73, 1.65, 2.44
2023-12-24 18:43:44.043,0.88, 0.20, 0.43, -0.49, 1.95, 2.01
2023-12-24 18:43:44.044,0.89, 0.20, 0.43, -0.37, 2.32, 1.95
2023-12-24 18:43:44.045,0.88, 0.20, 0.44, -0.37, 2.56, 1.40
