Timestamp (Unix),Sample Nunmber,ax,ay,az,gx,gy,gz
2023-12-24 19:16:54.073,1,0.43, 0.28, 0.87, -1.22, -0.43, 5.31
2023-12-24 19:16:54.080,2,0.44, 0.28, 0.87, -1.89, -0.12, 5.68
2023-12-24 19:16:54.092,3,0.43, 0.28, 0.87, -2.87, -0.37, 5.74
2023-12-24 19:16:54.098,4,0.43, 0.29, 0.87, -3.97, -0.43, 6.35
2023-12-24 19:16:54.100,5,0.43, 0.29, 0.87, -4.88, -0.18, 6.65
2023-12-24 19:16:54.102,6,0.42, 0.28, 0.86, -6.77, 0.55, 6.65
2023-12-24 19:16:54.104,7,0.40, 0.27, 0.84, -8.06, 0.37, 6.35
2023-12-24 19:16:54.106,8,0.40, 0.25, 0.84, -8.73, 0.37, 6.23
2023-12-24 19:16:54.107,9,0.42, 0.25, 0.84, -8.54, 1.16, 6.47
2023-12-24 19:16:54.110,10,0.42, 0.24, 0.86, -7.32, -0.98, 5.74
2023-12-24 19:16:54.116,11,0.44, 0.23, 0.87, -5.55, -1.28, 5.43
2023-12-24 19:16:54.117,12,0.44, 0.23, 0.87, -4.88, -1.34, 5.19
2023-12-24 19:16:54.118,13,0.45, 0.25, 0.88, -3.78, -1.89, 4.64
2023-12-24 19:16:54.118,14,0.45, 0.25, 0.88, -3.60, -1.83, 5.13
2023-12-24 19:16:54.119,15,0.46, 0.25, 0.88, -4.58, -0.85, 5.00
2023-12-24 19:16:54.120,16,0.45, 0.24, 0.88, -6.10, 0.73, 4.58
2023-12-24 19:16:54.121,17,0.45, 0.23, 0.88, -6.53, 1.53, 4.64
2023-12-24 19:16:54.121,18,0.45, 0.23, 0.87, -6.04, 2.08, 4.03
2023-12-24 19:16:54.122,19,0.44, 0.22, 0.87, -4.39, 1.89, 3.23
2023-12-24 19:16:54.123,20,0.44, 0.23, 0.87, -2.62, 1.16, 2.32
2023-12-24 19:16:54.124,21,0.43, 0.22, 0.86, -2.01, 1.10, 2.20
2023-12-24 19:16:54.125,22,0.42, 0.23, 0.85, -1.59, 0.31, 2.08
2023-12-24 19:16:54.125,23,0.42, 0.23, 0.85, -1.95, 0.24, 2.93
2023-12-24 19:16:54.126,24,0.44, 0.22, 0.85, -2.99, 0.98, 2.99
2023-12-24 19:16:54.127,25,0.43, 0.21, 0.86, -3.36, 2.26, 2.75
2023-12-24 19:16:54.128,26,0.45, 0.21, 0.87, -1.89, 1.77, 3.54
2023-12-24 19:16:54.129,27,0.46, 0.23, 0.88, -0.18, 1.04, 4.46
2023-12-24 19:16:54.130,28,0.46, 0.24, 0.88, 0.49, 0.43, 4.52
2023-12-24 19:16:54.131,29,0.46, 0.26, 0.88, 0.73, 0.12, 4.64
2023-12-24 19:16:54.132,30,0.46, 0.25, 0.87, 0.06, 0.55, 3.48
2023-12-24 19:16:54.132,31,0.44, 0.24, 0.87, -1.28, 1.71, 3.60
2023-12-24 19:16:54.133,32,0.44, 0.25, 0.85, -3.36, 3.60, 1.95
2023-12-24 19:16:54.134,33,0.42, 0.23, 0.86, -3.54, 2.75, 3.72
2023-12-24 19:16:54.134,34,0.44, 0.23, 0.85, -2.87, 2.38, 3.72
2023-12-24 19:16:54.137,35,0.42, 0.22, 0.87, -2.38, 2.01, 3.60
2023-12-24 19:16:54.137,36,0.43, 0.23, 0.88, -1.04, 1.04, 4.82
