Timestamp (Unix),ax,ay,az,gx,gy,gz
2023-12-24 18:21:18.061,7.67, -0.70, 0.26, -0.43, 2.26, 1.77
2023-12-24 18:21:18.064,, 2.20, 1.65
2023-12-24 18:21:18.071,0.67, -0.70, 0.26, -0.43, 2.20, 1.71
2023-12-24 18:21:18.077,0.67, -0.70, 0.27, -0.43, 2.26, 1.71
2023-12-24 18:21:18.082,0.67, -0.70, 0.26, -0.43, 2.26, 1.77
2023-12-24 18:21:18.086,, 2.20, 1.65
2023-12-24 18:21:18.089,0.67, -0.70, 0.26, -0.43, 2.20, 1.71
2023-12-24 18:21:18.090,0.67, -0.70, 0.27, -0.43, 2.26, 1.71
2023-12-24 18:21:18.092,0.67, -0.70, 0.26, -0.43, 2.26, 1.77
2023-12-24 18:21:18.099,0.67, -0.70, 0.26, -0.49, 2.26, 1.77
2023-12-24 18:21:18.103,0.67, -0.70, 0.26, -0.49, 2.26, 1.65
2023-12-24 18:21:18.104,0.67, -0.70, 0.26, -0.37, 2.32, 1.65
2023-12-24 18:21:18.108,0.67, -0.70, 0.26, -0.49, 2.26, 1.71
2023-12-24 18:21:18.110,0.67, -0.70, 0.26, -0.43, 2.20, 1.77
2023-12-24 18:21:18.112,0.67, -0.70, 0.26, -0.49, 2.26, 1.65
2023-12-24 18:21:18.113,0.67, -0.70, 0.26, -0.43, 2.20, 1.71
2023-12-24 18:21:18.115,0.67, -0.70, 0.26, -0.43, 2.20, 1.77
2023-12-24 18:21:18.116,0.67, -0.70, 0.26, -0.49, 2.26, 1.71
2023-12-24 18:21:18.119,0.67, -0.70, 0.26, -0.49, 2.26, 1.71
2023-12-24 18:21:18.120,0.67, -0.69, 0.27, -0.49, 2.26, 1.77
2023-12-24 18:21:18.121,0.67, -0.70, 0.27, -0.49, 2.20, 1.77
2023-12-24 18:21:18.123,0.67, -0.70, 0.26, -0.43, 2.32, 1.83
2023-12-24 18:21:18.124,0.67, -0.70, 0.26, -0.43, 2.26, 1.65
2023-12-24 18:21:18.125,0.67, -0.70, 0.26, -0.43, 2.20, 1.71
2023-12-24 18:21:18.126,0.67, -0.70, 0.26, -0.55, 2.20, 1.65
2023-12-24 18:21:18.127,0.67, -0.70, 0.26, -0.43, 2.26, 1.65
2023-12-24 18:21:18.128,0.67, -0.70, 0.26, -0.49, 2.14, 1.71
2023-12-24 18:21:18.129,0.67, -0.69, 0.26, -0.55, 2.32, 1.65
2023-12-24 18:21:18.130,0.67, -0.70, 0.26, -0.43, 2.20, 1.77
2023-12-24 18:21:18.132,0.67, -0.70, 0.26, -0.49, 2.08, 1.77
2023-12-24 18:21:18.133,0.67, -0.70, 0.27, -0.49, 2.20, 1.77
2023-12-24 18:21:18.143,0.67, -0.70, 0.26, -0.43, 2.14, 1.71
2023-12-24 18:21:18.144,0.67, -0.70, 0.26, -0.43, 2.14, 1.65
2023-12-24 18:21:18.148,0.66, -0.70, 0.26, -0.49, 2.26, 1.71
2023-12-24 18:21:18.150,0.67, -0.70, 0.26, -0.49, 2.20, 1.77
2023-12-24 18:21:18.154,0.67, -0.70, 0.27, -0.49, 2.20, 1.65
2023-12-24 18:21:18.155,0.67, -0.70, 0.27, -0.49, 2.32, 1.77
2023-12-24 18:21:18.163,0.67, -0.70, 0.27, -0.49, 2.32, 1.71
2023-12-24 18:21:18.166,0.67, -0.69, 0.26, -0.55, 2.32, 1.71
2023-12-24 18:21:18.170,0.67, -0.70, 0.26, -0.43, 2.20, 1.77
2023-12-24 18:21:18.171,0.67, -0.70, 0.26, -0.37, 2.32, 1.71
2023-12-24 18:21:18.172,0.67, -0.70, 0.27, -0.49, 2.26, 1.77
2023-12-24 18:21:18.173,0.67, -0.70, 0.26, -0.43, 2.20, 1.65
2023-12-24 18:21:18.175,0.67, -0.70, 0.26, -0.43, 2.26, 1.77
2023-12-24 18:21:18.176,0.67, -0.70, 0.26, -0.43, 2.26, 1.71
2023-12-24 18:21:18.177,0.67, -0.70, 0.26, -0.43, 2.26, 1.71
2023-12-24 18:21:18.178,0.67, -0.70, 0.26, -0.31, 2.20, 1.65
2023-12-24 18:21:18.181,0.67, -0.70, 0.26, -0.43, 2.20, 1.65
2023-12-24 18:21:18.182,0.67, -0.70, 0.26, -0.49, 2.20, 1.71
2023-12-24 18:21:18.186,0.67, -0.70, 0.26, -0.49, 2.26, 1.71
2023-12-24 18:21:18.188,0.67, -0.70, 0.27, -0.43, 2.20, 1.59
2023-12-24 18:21:18.189,0.67, -0.70, 0.26, -0.43, 2.32, 1.71
2023-12-24 18:21:18.190,0.67, -0.70, 0.26, -0.49, 2.32, 1.71
2023-12-24 18:21:18.191,0.67, -0.70, 0.26, -0.43, 2.20, 1.71
2023-12-24 18:21:18.192,0.67, -0.70, 0.27, -0.49, 2.14, 1.71
2023-12-24 18:21:18.193,0.67, -0.70, 0.26, -0.55, 2.20, 1.77
2023-12-24 18:21:18.194,0.67, -0.70, 0.26, -0.37, 2.20, 1.71
2023-12-24 18:21:18.195,0.67, -0.70, 0.26, -0.43, 2.32, 1.71
2023-12-24 18:21:18.196,0.67, -0.70, 0.26, -0.43, 2.26, 1.71
2023-12-24 18:21:18.198,0.67, -0.70, 0.26, -0.43, 2.32, 1.71
2023-12-24 18:21:18.198,0.67, -0.70, 0.26, -0.43, 2.26, 1.77
2023-12-24 18:21:18.199,0.67, -0.70, 0.26, -0.49, 2.20, 1.71
2023-12-24 18:21:18.200,0.67, -0.70, 0.27, -0.43, 2.32, 1.77
2023-12-24 18:21:18.203,0.67, -0.70, 0.26, -0.49, 2.26, 1.77
2023-12-24 18:21:18.204,0.67, -0.70, 0.27, -0.43, 2.26, 1.71
2023-12-24 18:21:18.204,0.67, -0.70, 0.26, -0.43, 2.32, 1.71
2023-12-24 18:21:18.205,0.67, -0.69, 0.27, -0.49, 2.20, 1.71
2023-12-24 18:21:18.206,0.67, -0.69, 0.27, -0.61, 2.26, 1.65
2023-12-24 18:21:18.209,0.67, -0.70, 0.26, -0.49, 2.26, 1.71
2023-12-24 18:21:18.212,0.67, -0.70, 0.26, -0.55, 2.32, 1.65
2023-12-24 18:21:18.213,0.67, -0.70, 0.26, -0.49, 2.26, 1.71
2023-12-24 18:21:18.215,0.67, -0.70, 0.26, -0.49, 2.32, 1.77
2023-12-24 18:21:18.216,0.67, -0.70, 0.27, -0.43, 2.26, 1.65
2023-12-24 18:21:18.219,0.67, -0.69, 0.26, -0.43, 2.38, 1.59
2023-12-24 18:21:18.222,0.67, -0.70, 0.27, -0.49, 2.32, 1.59
2023-12-24 18:21:18.223,0.67, -0.70, 0.26, -0.49, 2.14, 1.65
2023-12-24 18:21:18.226,0.67, -0.70, 0.26, -0.49, 2.20, 1.65
2023-12-24 18:21:18.228,0.67, -0.70, 0.26, -0.43, 2.20, 1.71
2023-12-24 18:21:18.230,0.67, -0.70, 0.27, -0.49, 2.20, 1.77
2023-12-24 18:21:18.237,0.67, -0.70, 0.26, -0.43, 2.26, 1.65
2023-12-24 18:21:18.239,0.67, -0.70, 0.27, -0.43, 2.26, 1.83
2023-12-24 18:21:18.241,0.67, -0.70, 0.26, -0.49, 2.20, 1.71
2023-12-24 18:21:18.242,0.67, -0.69, 0.26, -0.43, 2.20, 1.71
2023-12-24 18:21:18.243,0.67, -0.70, 0.27, -0.49, 2.32, 1.77
2023-12-24 18:21:18.244,0.67, -0.70, 0.26, -0.49, 2.26, 1.71
2023-12-24 18:21:18.246,0.66, -0.70, 0.27, -0.49, 2.26, 1.59
2023-12-24 18:21:18.247,0.67, -0.69, 0.26, -0.55, 2.20, 1.59
2023-12-24 18:21:18.248,0.67, -0.70, 0.27, -0.37, 2.32, 1.53
2023-12-24 18:21:18.248,0.67, -0.69, 0.27, -0.49, 2.14, 1.95
2023-12-24 18:21:18.249,0.67, -0.69, 0.27, -0.55, 2.20, 1.34
