Timestamp (Unix),Sample Nunmber,ax,ay,az,gx,gy,gz
2023-12-25 23:39:11.923,1,1.00, -0.16, 0.03, -0.79, 0.73, 1.89
2023-12-25 23:39:11.926,2,0.99, -0.14, 0.03, 1.34, 2.44, 0.43
2023-12-25 23:39:11.928,3,0.99, -0.14, 0.03, 1.28, 2.99, 1.59
2023-12-25 23:39:11.930,4,0.99, -0.16, 0.03, 0.49, 3.17, 2.62
2023-12-25 23:39:11.931,5,0.98, -0.16, 0.04, 0.98, 2.20, 3.05
2023-12-25 23:39:11.932,6,0.99, -0.17, 0.05, 2.20, -0.73, 3.97
2023-12-25 23:39:11.933,7,0.99, -0.19, 0.05, 2.81, -3.23, 4.82
2023-12-25 23:39:11.934,8,0.99, -0.19, 0.05, 2.44, -3.85, 4.64
2023-12-25 23:39:11.935,9,1.00, -0.19, 0.05, 1.04, -2.08, 3.60
2023-12-25 23:39:11.938,10,1.00, -0.20, 0.04, -1.53, 0.49, 2.38
2023-12-25 23:39:11.939,11,0.99, -0.21, 0.04, -2.81, 3.11, 0.85
2023-12-25 23:39:11.941,12,0.98, -0.21, 0.04, -2.62, 3.42, 0.61
2023-12-25 23:39:11.943,13,0.98, -0.21, 0.02, -1.89, 2.14, 1.16
2023-12-25 23:39:11.944,14,0.98, -0.20, 0.02, -0.79, -0.49, 2.20
2023-12-25 23:39:11.945,15,0.99, -0.19, 0.01, 0.85, -2.50, 2.26
2023-12-25 23:39:11.947,16,1.00, -0.19, 0.01, 2.01, -2.50, 1.28
2023-12-25 23:39:11.947,17,1.01, -0.17, 0.01, 1.95, 0.49, -0.49
2023-12-25 23:39:11.948,18,1.00, -0.17, 0.01, 1.53, 5.13, -2.69
2023-12-25 23:39:11.949,19,1.00, -0.16, 0.02, 0.43, 8.18, -3.36
2023-12-25 23:39:11.949,20,0.98, -0.17, 0.03, -0.31, 9.22, -3.23
2023-12-25 23:39:11.950,21,0.98, -0.17, 0.03, 0.06, 7.08, -1.95
2023-12-25 23:39:11.951,22,0.98, -0.16, 0.03, 0.24, 5.49, -1.04
2023-12-25 23:39:11.951,23,0.98, -0.17, 0.03, 0.61, 2.20, 0.98
2023-12-25 23:39:11.952,24,0.99, -0.16, 0.03, 1.40, -0.12, 2.01
2023-12-25 23:39:11.954,25,1.00, -0.16, 0.02, 2.20, -0.31, 1.59
2023-12-25 23:39:11.955,26,1.01, -0.15, 0.03, 2.01, 2.93, -0.37
2023-12-25 23:39:11.955,27,1.00, -0.15, 0.03, 1.46, 7.39, -2.50
2023-12-25 23:39:11.956,28,0.99, -0.15, 0.03, 0.18, 9.77, -2.99
2023-12-25 23:39:11.957,29,0.98, -0.16, 0.03, -0.37, 8.91, -2.26
2023-12-25 23:39:11.957,30,0.98, -0.16, 0.03, 0.43, 5.37, -0.06
2023-12-25 23:39:11.958,31,0.99, -0.17, 0.02, 1.59, 0.73, 2.20
2023-12-25 23:39:11.959,32,0.99, -0.17, 0.03, 2.08, -0.49, 2.69
2023-12-25 23:39:11.961,33,1.00, -0.17, 0.03, 2.44, 0.06, 2.44
2023-12-25 23:39:11.961,34,1.01, -0.17, 0.04, 2.26, 3.78, 0.79
2023-12-25 23:39:11.962,35,1.00, -0.17, 0.05, 1.53, 11.54, -0.06
2023-12-25 23:39:11.963,36,0.99, -0.17, 0.05, 2.38, 14.28, -1.16
2023-12-25 23:39:11.964,37,0.98, -0.17, 0.05, 1.77, 14.40, -1.22
2023-12-25 23:39:11.965,38,0.98, -0.17, 0.06, -0.61, 8.91, -0.73
2023-12-25 23:39:11.966,39,0.98, -0.18, 0.06, -0.31, 4.09, 1.40
2023-12-25 23:39:11.967,40,0.98, -0.18, 0.05, 1.34, 0.61, 2.32
2023-12-25 23:39:11.968,41,0.98, -0.18, 0.05, 1.53, -0.31, 2.99
2023-12-25 23:39:11.972,42,0.99, -0.17, 0.05, 1.10, -1.04, 3.91
2023-12-25 23:39:11.973,43,1.00, -0.18, 0.04, 2.01, 0.06, 5.25
2023-12-25 23:39:11.974,44,1.01, -0.18, 0.04, 1.95, 3.23, 2.62
2023-12-25 23:39:11.974,45,1.00, -0.17, 0.04, 0.31, 6.90, -0.61
2023-12-25 23:39:11.975,46,1.00, -0.18, 0.04, -1.10, 8.67, -1.83
2023-12-25 23:39:11.976,47,0.99, -0.18, 0.04, -0.43, 8.67, -2.01
2023-12-25 23:39:11.976,48,0.97, -0.18, 0.04, 1.46, 6.53, -0.98
2023-12-25 23:39:11.977,49,1.00, -0.18, 0.03, 3.97, 3.97, 0.37
2023-12-25 23:39:11.978,50,1.00, -0.19, 0.03, 7.14, 7.69, 0.79
2023-12-25 23:39:11.978,51,1.01, -0.16, 0.03, 7.63, 13.31, -2.87
2023-12-25 23:39:11.979,52,0.99, -0.16, 0.04, 3.30, 18.68, -4.39
2023-12-25 23:39:11.980,53,1.00, -0.16, 0.04, 1.34, 18.31, -5.68
2023-12-25 23:39:11.981,54,1.00, -0.16, 0.05, 0.85, 20.81, -7.75
2023-12-25 23:39:11.981,55,0.98, -0.15, 0.06, 2.26, 21.73, -8.97
2023-12-25 23:39:11.982,56,0.98, -0.14, 0.07, 2.56, 19.17, -6.35
2023-12-25 23:39:11.983,57,0.98, -0.17, 0.07, 3.60, 14.77, -4.15
2023-12-25 23:39:11.983,58,0.99, -0.15, 0.06, 8.54, 14.77, -3.05
2023-12-25 23:39:11.984,59,0.98, -0.15, 0.06, 8.18, 15.38, 1.59
2023-12-25 23:39:11.984,60,1.01, -0.16, 0.06, 2.26, 10.19, -0.12
2023-12-25 23:39:11.985,61,0.99, -0.16, 0.07, 0.31, 13.31, -3.97
2023-12-25 23:39:11.986,62,1.01, -0.15, 0.07, 1.10, 14.71, -3.91
2023-12-25 23:39:11.988,63,1.00, -0.15, 0.08, 0.92, 17.94, -4.70
2023-12-25 23:39:11.989,64,0.98, -0.15, 0.10, -0.24, 21.00, -7.39
2023-12-25 23:39:11.989,65,1.02, -0.16, 0.08, 1.40, 16.72, -4.39
2023-12-25 23:39:11.991,66,0.98, -0.13, 0.11, 5.62, 24.90, -10.13
2023-12-25 23:39:11.992,67,0.98, -0.13, 0.12, 3.48, 17.09, -4.52
2023-12-25 23:39:11.992,68,1.00, -0.14, 0.12, 4.70, 14.40, -3.23
2023-12-25 23:39:11.994,69,0.97, -0.13, 0.13, 9.40, 14.95, -4.82
2023-12-25 23:39:11.994,70,0.99, -0.11, 0.12, 11.66, 9.89, -0.92
2023-12-25 23:39:11.995,71,0.98, -0.12, 0.13, 9.34, 8.67, 3.42
2023-12-25 23:39:11.996,72,0.96, -0.14, 0.14, 10.80, 3.42, 5.43
2023-12-25 23:39:11.997,73,0.99, -0.14, 0.14, 14.40, -4.64, 7.87
2023-12-25 23:39:11.998,74,1.00, -0.15, 0.15, 16.05, -7.26, 8.00
2023-12-25 23:39:11.999,75,1.00, -0.13, 0.16, 20.32, -6.10, 4.27
2023-12-25 23:39:12.001,76,1.03, -0.12, 0.17, 26.06, -2.38, -0.43
2023-12-25 23:39:12.004,77,1.04, -0.11, 0.17, 27.95, 1.83, -2.99
2023-12-25 23:39:12.005,78,0.99, -0.18, 0.17, 33.33, 9.09, -10.07
2023-12-25 23:39:12.006,79,1.01, -0.17, 0.09, 46.51, 8.67, -12.51
2023-12-25 23:39:12.007,80,0.96, -0.18, 0.08, 63.60, 18.80, 0.85
2023-12-25 23:39:12.008,81,0.94, -0.20, 0.05, 77.76, 21.73, 25.70
2023-12-25 23:39:12.008,82,1.00, -0.20, 0.01, 81.05, 23.56, 36.25
2023-12-25 23:39:12.009,83,1.05, -0.18, 0.03, 72.27, 38.27, 30.94
2023-12-25 23:39:12.010,84,1.06, -0.19, 0.04, 54.20, 55.54, 14.04
2023-12-25 23:39:12.011,85,1.07, -0.18, 0.09, 36.07, 70.19, -20.02
2023-12-25 23:39:12.011,86,1.01, -0.15, 0.13, 24.60, 81.91, -44.19
2023-12-25 23:39:12.012,87,0.92, -0.14, 0.19, 17.76, 74.28, -51.21
2023-12-25 23:39:12.013,88,0.87, -0.13, 0.21, 18.37, 63.05, -46.39
2023-12-25 23:39:12.013,89,0.87, -0.11, 0.19, 22.34, 28.26, -22.89
2023-12-25 23:39:12.014,90,0.94, -0.11, 0.18, 24.78, 1.89, 1.95
2023-12-25 23:39:12.015,91,0.96, -0.14, 0.18, 24.11, -5.19, 14.53
2023-12-25 23:39:12.015,92,1.04, -0.14, 0.16, 28.08, -1.34, 15.44
2023-12-25 23:39:12.016,93,1.04, -0.13, 0.14, 32.47, 23.13, 9.03
2023-12-25 23:39:12.017,94,1.02, -0.11, 0.16, 20.63, 35.77, -9.58
2023-12-25 23:39:12.018,95,0.97, -0.10, 0.20, 5.92, 39.31, -26.06
2023-12-25 23:39:12.018,96,0.95, -0.10, 0.23, 5.31, 33.87, -21.79
2023-12-25 23:39:12.022,97,0.94, -0.08, 0.24, 7.14, 27.83, -16.11
2023-12-25 23:39:12.024,98,0.93, -0.07, 0.25, 6.23, 16.97, -8.06
2023-12-25 23:39:12.025,99,0.95, -0.08, 0.25, 5.37, 11.05, -3.66
2023-12-25 23:39:12.026,100,0.98, -0.10, 0.22, 6.35, 6.71, -1.34
2023-12-25 23:39:12.028,101,1.00, -0.09, 0.22, 6.35, 10.74, -3.91
2023-12-25 23:39:12.029,102,0.99, -0.10, 0.22, 3.05, 17.09, -9.09
2023-12-25 23:39:12.031,103,0.98, -0.10, 0.23, 2.38, 21.91, -11.78
2023-12-25 23:39:12.032,104,0.97, -0.10, 0.24, 2.62, 23.25, -12.63
2023-12-25 23:39:12.033,105,0.98, -0.10, 0.22, 4.03, 21.06, -10.50
2023-12-25 23:39:12.034,106,0.98, -0.11, 0.21, 4.27, 21.24, -9.77
2023-12-25 23:39:12.035,107,0.97, -0.10, 0.22, 5.00, 21.61, -9.89
2023-12-25 23:39:12.039,108,1.00, -0.10, 0.24, 5.49, 24.23, -12.27
2023-12-25 23:39:12.041,109,1.00, -0.09, 0.24, 5.62, 33.14, -20.02
2023-12-25 23:39:12.042,110,0.97, -0.08, 0.25, 4.46, 38.94, -23.74
2023-12-25 23:39:12.044,111,0.95, -0.08, 0.27, 2.99, 38.45, -24.17
2023-12-25 23:39:12.045,112,0.94, -0.06, 0.29, 2.38, 33.26, -20.94
2023-12-25 23:39:12.046,113,0.95, -0.06, 0.30, 3.23, 25.02, -15.01
2023-12-25 23:39:12.047,114,0.95, -0.05, 0.30, 3.54, 19.35, -11.54
2023-12-25 23:39:12.047,115,0.96, -0.04, 0.28, 2.62, 15.01, -8.30
2023-12-25 23:39:12.048,116,0.95, -0.05, 0.28, 0.92, 11.72, -4.76
2023-12-25 23:39:12.049,117,0.96, -0.05, 0.27, 0.06, 8.00, -1.95
2023-12-25 23:39:12.049,118,0.98, -0.05, 0.27, -0.85, 7.69, -1.46
2023-12-25 23:39:12.050,119,0.97, -0.06, 0.27, -2.20, 8.97, -4.58
2023-12-25 23:39:12.051,120,0.98, -0.04, 0.28, -0.67, 11.29, -6.84
2023-12-25 23:39:12.052,121,0.99, -0.04, 0.28, -0.12, 13.92, -7.75
2023-12-25 23:39:12.053,122,0.96, -0.04, 0.29, 0.61, 17.76, -10.01
2023-12-25 23:39:12.055,123,0.93, -0.04, 0.29, -0.79, 12.57, -6.53
2023-12-25 23:39:12.056,124,0.95, -0.06, 0.27, -0.31, 4.64, 0.00
2023-12-25 23:39:12.056,125,0.97, -0.06, 0.28, 1.22, 3.17, 3.05
2023-12-25 23:39:12.057,126,0.97, -0.07, 0.28, 0.12, 3.48, 2.56
2023-12-25 23:39:12.057,127,0.98, -0.08, 0.28, -0.18, 6.16, 0.18
2023-12-25 23:39:12.058,128,0.98, -0.08, 0.28, 1.65, 11.23, -3.60
2023-12-25 23:39:12.059,129,0.97, -0.07, 0.29, 1.95, 14.95, -7.57
2023-12-25 23:39:12.059,130,0.95, -0.05, 0.30, 0.98, 16.60, -9.70
2023-12-25 23:39:12.060,131,0.95, -0.05, 0.30, 1.46, 14.34, -8.30
2023-12-25 23:39:12.061,132,0.94, -0.04, 0.31, 0.43, 12.51, -6.47
2023-12-25 23:39:12.063,133,0.94, -0.04, 0.31, -0.18, 10.19, -5.13
2023-12-25 23:39:12.064,134,0.95, -0.05, 0.31, -1.04, 3.78, 0.06
2023-12-25 23:39:12.065,135,0.97, -0.04, 0.31, 0.18, 2.32, -0.18
2023-12-25 23:39:12.066,136,0.98, -0.04, 0.30, 0.98, 5.86, -2.08
2023-12-25 23:39:12.066,137,0.97, -0.03, 0.31, 1.71, 13.06, -6.96
2023-12-25 23:39:12.067,138,0.93, -0.03, 0.32, 0.37, 13.12, -7.75
2023-12-25 23:39:12.068,139,0.94, -0.03, 0.31, 0.18, 4.88, -1.10
2023-12-25 23:39:12.068,140,0.95, -0.04, 0.31, 0.12, 1.10, 2.14
2023-12-25 23:39:12.069,141,0.95, -0.04, 0.31, 0.43, 1.40, 2.08
2023-12-25 23:39:12.073,142,0.96, -0.04, 0.30, -0.06, -0.67, 3.60
2023-12-25 23:39:12.074,143,1.00, -0.05, 0.29, 1.04, 2.20, 1.46
2023-12-25 23:39:12.074,144,0.95, -0.03, 0.30, 1.22, 9.52, -5.07
2023-12-25 23:39:12.075,145,0.96, -0.04, 0.30, 0.61, 5.62, -1.46
2023-12-25 23:39:12.075,146,0.95, -0.03, 0.30, 1.16, 5.07, -0.92
2023-12-25 23:39:12.076,147,0.94, -0.02, 0.30, 0.98, 0.49, 2.32
2023-12-25 23:39:12.077,148,0.97, -0.03, 0.30, 0.06, -2.32, 5.13
2023-12-25 23:39:12.077,149,0.96, -0.03, 0.30, -0.43, -0.18, 3.42
2023-12-25 23:39:12.078,150,0.97, -0.04, 0.30, -1.22, 1.22, 2.99
2023-12-25 23:39:12.079,151,0.96, -0.04, 0.31, -1.53, 2.75, 2.38
2023-12-25 23:39:12.079,152,0.95, -0.05, 0.31, -1.40, 2.20, 3.05
2023-12-25 23:39:12.080,153,0.94, -0.05, 0.31, -0.92, -0.67, 5.49
2023-12-25 23:39:12.081,154,0.95, -0.06, 0.30, 0.06, -3.42, 7.32
2023-12-25 23:39:12.081,155,0.99, -0.07, 0.28, 0.67, -6.90, 10.38
2023-12-25 23:39:12.082,156,0.97, -0.05, 0.29, 2.62, 2.01, 3.23
2023-12-25 23:39:12.083,157,0.95, -0.05, 0.28, 2.38, 0.98, 3.72
2023-12-25 23:39:12.083,158,1.00, -0.06, 0.27, 3.54, 0.85, 4.58
2023-12-25 23:39:12.084,159,0.94, -0.04, 0.29, 5.55, 6.96, -0.37
2023-12-25 23:39:12.085,160,0.95, -0.02, 0.29, 6.90, 3.66, 2.50
2023-12-25 23:39:12.085,161,0.99, -0.02, 0.29, 8.91, 2.69, 5.74
2023-12-25 23:39:12.087,162,0.94, -0.01, 0.30, 12.76, 9.09, 2.50
2023-12-25 23:39:12.088,163,0.96, 0.02, 0.31, 19.78, 10.01, 7.08
2023-12-25 23:39:12.089,164,0.92, -0.02, 0.37, 24.17, 13.06, 12.51
2023-12-25 23:39:12.089,165,0.89, -0.06, 0.37, 34.85, 0.73, 19.71
2023-12-25 23:39:12.090,166,0.99, -0.08, 0.29, 46.02, -7.63, 26.61
2023-12-25 23:39:12.091,167,0.97, -0.08, 0.31, 51.39, 1.34, 20.63
2023-12-25 23:39:12.092,168,0.96, -0.07, 0.31, 44.07, 3.72, 18.19
2023-12-25 23:39:12.092,169,0.99, -0.09, 0.30, 35.95, 5.25, 14.10
2023-12-25 23:39:12.093,170,0.98, -0.09, 0.31, 31.86, 8.18, 9.03
2023-12-25 23:39:12.094,171,0.98, -0.07, 0.30, 33.08, 8.67, 5.86
2023-12-25 23:39:12.094,172,0.96, -0.04, 0.30, 34.06, 9.34, 4.39
2023-12-25 23:39:12.095,173,0.98, 0.01, 0.28, 37.96, 10.86, 4.39
2023-12-25 23:39:12.096,174,0.96, 0.02, 0.30, 35.34, 17.70, 4.03
