Timestamp (Unix),ax,ay,az,gx,gy,gz
2023-12-24 18:38:39.870,0.83, -0.37, -0.47, -0.61, 2.14, 1.83
2023-12-24 18:38:39.872,0.83, -0.37, -0.47, -0.79, 2.08, 2.32
2023-12-24 18:38:39.873,0.83, -0.37, -0.47, -0.67, 2.08, 2.32
2023-12-24 18:38:39.874,0.82, -0.37, -0.47, -0.55, 2.08, 2.08
2023-12-24 18:38:39.875,0.83, -0.37, -0.47, -0.37, 2.08, 1.46
2023-12-24 18:38:39.876,0.83, -0.37, -0.47, -0.24, 2.08, 1.10
2023-12-24 18:38:39.877,0.83, -0.37, -0.47, -0.37, 2.14, 1.10
2023-12-24 18:38:39.878,0.83, -0.37, -0.47, -0.61, 2.44, 1.65
2023-12-24 18:38:39.879,0.83, -0.37, -0.47, -0.79, 2.50, 2.14
2023-12-24 18:38:39.880,0.82, -0.37, -0.47, -0.85, 2.44, 2.38
2023-12-24 18:38:39.881,0.83, -0.37, -0.47, -0.73, 2.26, 2.14
2023-12-24 18:38:39.882,0.83, -0.37, -0.47, -0.67, 2.14, 1.89
2023-12-24 18:38:39.883,0.83, -0.37, -0.47, -0.43, 1.89, 1.53
2023-12-24 18:38:39.884,0.83, -0.37, -0.47, -0.24, 2.01, 1.16
2023-12-24 18:38:39.885,0.83, -0.37, -0.47, -0.18, 2.20, 1.16
2023-12-24 18:38:39.887,0.83, -0.37, -0.47, -0.43, 2.38, 1.65
2023-12-24 18:38:39.888,0.83, -0.37, -0.47, -0.73, 2.32, 2.32
2023-12-24 18:38:39.889,0.83, -0.37, -0.47, -0.79, 2.32, 2.50
2023-12-24 18:38:39.890,0.82, -0.37, -0.47, -0.61, 2.20, 1.95
2023-12-24 18:38:39.892,0.83, -0.37, -0.47, -0.31, 2.14, 1.40
2023-12-24 18:38:39.893,0.83, -0.37, -0.47, -0.31, 2.08, 1.10
2023-12-24 18:38:39.895,0.83, -0.37, -0.47, -0.31, 2.01, 1.28
2023-12-24 18:38:39.897,0.83, -0.37, -0.47, -0.43, 2.01, 1.65
2023-12-24 18:38:39.898,0.83, -0.37, -0.46, -0.55, 2.38, 1.77
2023-12-24 18:38:39.899,0.83, -0.37, -0.47, -0.61, 2.38, 1.89
2023-12-24 18:38:39.900,0.83, -0.37, -0.48, -0.85, 1.77, 1.95
2023-12-24 18:38:39.902,0.83, -0.37, -0.47, -1.10, 2.20, 1.22
2023-12-24 18:38:39.904,0.83, -0.37, -0.46, -0.55, 3.42, 0.85
2023-12-24 18:38:39.905,0.83, -0.37, -0.47, -0.37, 2.93, 1.65
2023-12-24 18:38:39.905,0.83, -0.37, -0.46, -0.67, 3.11, 3.11
2023-12-24 18:38:39.907,0.82, -0.38, -0.46, -0.85, 1.65, 4.03
2023-12-24 18:38:39.908,0.82, -0.38, -0.47, 0.24, 0.73, 2.56
2023-12-24 18:38:39.908,0.83, -0.37, -0.47, 1.10, 0.55, -0.61
2023-12-24 18:38:39.909,0.83, -0.37, -0.47, 0.12, 1.34, -1.16
2023-12-24 18:38:39.911,0.83, -0.36, -0.47, -0.85, 2.01, 0.49
2023-12-24 18:38:39.912,0.84, -0.37, -0.46, -1.65, 4.70, 3.30
2023-12-24 18:38:39.913,0.82, -0.37, -0.45, -0.73, 4.52, 4.03
2023-12-24 18:38:39.914,0.83, -0.38, -0.46, -1.40, 5.00, 4.21
2023-12-24 18:38:39.916,0.82, -0.38, -0.45, -1.04, 3.17, 3.72
2023-12-24 18:38:39.917,0.82, -0.38, -0.46, -0.67, 0.18, 3.36
2023-12-24 18:38:39.918,0.82, -0.38, -0.48, 0.61, -1.16, 0.61
2023-12-24 18:38:39.920,0.83, -0.38, -0.49, 1.34, 0.06, -1.71
2023-12-24 18:38:39.921,0.83, -0.36, -0.46, 0.55, 2.32, -1.46
2023-12-24 18:38:39.921,0.84, -0.36, -0.46, -0.18, 3.30, -1.28
